Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,299500.000000,303000.000000,256000.000000,260000.000000,233904.718750,4274525
2014-02-01,256000.000000,261000.000000,246000.000000,254500.000000,228956.734375,3775592
2014-03-01,253500.000000,258500.000000,235500.000000,254000.000000,228506.906250,4576331
2014-04-01,254000.000000,278500.000000,254000.000000,263000.000000,236603.609375,5086182
2014-05-01,263000.000000,269500.000000,249500.000000,260000.000000,233904.718750,2891374
2014-06-01,261000.000000,298000.000000,261000.000000,296000.000000,266291.500000,4207572
2014-07-01,297000.000000,300000.000000,278000.000000,291000.000000,261793.343750,4841389
2014-08-01,290000.000000,294000.000000,266500.000000,269500.000000,242451.234375,3172903
2014-09-01,269500.000000,278000.000000,250500.000000,255500.000000,229856.359375,3407755
2014-10-01,251500.000000,258500.000000,181000.000000,200000.000000,179926.703125,10178655
2014-11-01,200500.000000,226500.000000,172500.000000,206500.000000,185774.312500,7048927
2014-12-01,201500.000000,203000.000000,179000.000000,181000.000000,162833.656250,4838350
2015-01-01,181000.000000,202000.000000,163000.000000,198500.000000,182512.828125,6237330
2015-02-01,202500.000000,233500.000000,201500.000000,230000.000000,211475.843750,4737022
2015-03-01,233000.000000,242500.000000,219500.000000,226000.000000,207797.984375,4629359
2015-04-01,228000.000000,290000.000000,222000.000000,273000.000000,251012.609375,6168244
2015-05-01,273000.000000,286000.000000,249500.000000,249500.000000,229405.312500,3286805
2015-06-01,253000.000000,288500.000000,248500.000000,278500.000000,256069.640625,4040757
2015-07-01,280000.000000,284500.000000,228500.000000,250000.000000,229865.031250,5202257
2015-08-01,245000.000000,248000.000000,206500.000000,234000.000000,215153.656250,5200185
2015-09-01,240000.000000,285500.000000,215000.000000,285500.000000,262505.843750,5244525
2015-10-01,282500.000000,322000.000000,270000.000000,304500.000000,279975.625000,5582113
2015-11-01,303500.000000,335000.000000,286500.000000,318000.000000,292388.312500,4725117
2015-12-01,318000.000000,343500.000000,304500.000000,328500.000000,302042.656250,4153726
2016-01-01,328500.000000,344500.000000,273000.000000,295500.000000,275416.718750,6468334
2016-02-01,290000.000000,310000.000000,274000.000000,300000.000000,279610.875000,3908154
2016-03-01,300000.000000,335500.000000,292000.000000,327500.000000,305241.906250,4569189
2016-04-01,325500.000000,341000.000000,295500.000000,297000.000000,276814.812500,4592482
2016-05-01,295000.000000,299000.000000,268000.000000,271000.000000,252581.843750,4169311
2016-06-01,270000.000000,276500.000000,230000.000000,260000.000000,242329.468750,6172109
