Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,191000.000000,207500.000000,184500.000000,190000.000000,184170.109375,4413858
2014-02-01,186500.000000,214500.000000,181000.000000,207000.000000,200648.500000,3234930
2014-03-01,205000.000000,215000.000000,175000.000000,177500.000000,172053.656250,5055190
2014-04-01,178500.000000,186500.000000,171500.000000,181000.000000,175446.265625,3590555
2014-05-01,181000.000000,183500.000000,164500.000000,175000.000000,169630.359375,2606618
2014-06-01,174500.000000,180000.000000,163000.000000,172000.000000,166722.421875,2948899
2014-07-01,172000.000000,176500.000000,152500.000000,163500.000000,158483.234375,3575072
2014-08-01,160500.000000,166500.000000,144500.000000,145500.000000,141035.546875,3199815
2014-09-01,145500.000000,150000.000000,126500.000000,130000.000000,126011.132813,3644207
2014-10-01,129500.000000,131500.000000,87200.000000,92000.000000,89177.109375,10785915
2014-11-01,93300.000000,97500.000000,80600.000000,85000.000000,82391.890625,6534031
2014-12-01,83300.000000,88500.000000,76100.000000,78600.000000,76188.273438,4207899
2015-01-01,78600.000000,80900.000000,69600.000000,78200.000000,75988.632813,4576570
2015-02-01,79300.000000,99300.000000,78900.000000,98000.000000,95228.726563,6460013
2015-03-01,99400.000000,131000.000000,99300.000000,103500.000000,100573.195313,16354016
2015-04-01,102000.000000,117500.000000,98300.000000,99700.000000,96880.648438,6833177
2015-05-01,99700.000000,104500.000000,93600.000000,94600.000000,91924.867188,3749716
2015-06-01,100500.000000,103000.000000,82500.000000,90000.000000,87454.953125,5064136
2015-07-01,89700.000000,129000.000000,89500.000000,97000.000000,94257.000000,11324214
2015-08-01,97000.000000,98500.000000,74800.000000,81700.000000,79389.656250,4955230
2015-09-01,82600.000000,86300.000000,74600.000000,82400.000000,80069.867188,3852426
2015-10-01,82400.000000,90200.000000,81100.000000,82200.000000,79875.515625,3775551
2015-11-01,82200.000000,86900.000000,73400.000000,76100.000000,73948.015625,3286130
2015-12-01,76700.000000,83600.000000,72500.000000,75000.000000,72879.117188,3862474
2016-01-01,75000.000000,75000.000000,60300.000000,66300.000000,64425.140625,3232627
2016-02-01,67300.000000,92600.000000,63000.000000,91300.000000,88718.179688,5052487
2016-03-01,91300.000000,108000.000000,90500.000000,106000.000000,103002.500000,4522774
2016-04-01,106000.000000,117000.000000,94200.000000,113500.000000,110290.398438,5366131
2016-05-01,114000.000000,123000.000000,95500.000000,97900.000000,95131.546875,5712117
2016-06-01,98300.000000,101500.000000,86500.000000,90300.000000,87746.460938,4550836
2016-07-01,90300.000000,108500.000000,90200.000000,93000.000000,90370.117188,5847636
2016-08-01,93500.000000,96100.000000,86700.000000,87400.000000,84928.468750,3815172
2016-09-01,86800.000000,95900.000000,76600.000000,93500.000000,90855.976563,4745541
2016-10-01,93500.000000,105500.000000,88700.000000,90500.000000,87940.804688,5147437
2016-11-01,89600.000000,103000.000000,73200.000000,73600.000000,71518.710938,7207700
2016-12-01,76500.000000,81400.000000,72700.000000,78700.000000,76474.492188,3318457
2017-01-01,78900.000000,92400.000000,77200.000000,85800.000000,83804.031250,4721495
2017-02-01,86100.000000,97300.000000,83200.000000,89100.000000,87027.257813,4327650
2017-03-01,89100.000000,89700.000000,81500.000000,84700.000000,82729.625000,3866901
2017-04-01,85400.000000,85500.000000,78300.000000,78900.000000,77064.546875,3272098
2017-05-01,78900.000000,91500.000000,78600.000000,89000.000000,86929.585938,6198972
2017-06-01,90400.000000,99300.000000,86100.000000,89700.000000,87613.304688,7269170
2017-07-01,88100.000000,93500.000000,82500.000000,92200.000000,90055.148438,4550757
2017-08-01,92600.000000,99900.000000,88600.000000,98300.000000,96013.242188,5775759
2017-09-01,99200.000000,113500.000000,97600.000000,102500.000000,100115.539063,7030506
2017-10-01,102500.000000,115500.000000,96600.000000,113000.000000,110371.273438,6048676
2017-11-01,113000.000000,135000.000000,112500.000000,121500.000000,118673.539063,7778252
2017-12-01,121000.000000,137000.000000,116000.000000,136000.000000,132836.234375,4227957
2018-01-01,136000.000000,187000.000000,135000.000000,169000.000000,167612.078125,10981029
2018-02-01,168000.000000,172000.000000,145500.000000,164500.000000,163149.031250,5175806
2018-03-01,164500.000000,170000.000000,139000.000000,157000.000000,155710.625000,6273886
2018-04-01,156000.000000,171000.000000,152500.000000,156000.000000,154718.843750,4953696
2018-05-01,156000.000000,166000.000000,130000.000000,132500.000000,131411.828125,4049512
2018-06-01,131500.000000,132000.000000,102000.000000,103000.000000,102154.109375,7600099
2018-07-01,103500.000000,104000.000000,91700.000000,98800.000000,97988.601563,6184481
2018-08-01,100000.000000,117500.000000,98100.000000,115500.000000,114551.445313,5884912
2018-09-01,116000.000000,122500.000000,106000.000000,110000.000000,109096.617188,3163292
2018-10-01,110000.000000,118000.000000,80000.000000,85200.000000,84500.289063,4853286
2018-11-01,85000.000000,109500.000000,84700.000000,104500.000000,103641.789063,3845087
2018-12-01,106000.000000,117000.000000,102000.000000,107000.000000,106121.257813,2855896
2019-01-01,107000.000000,111000.000000,89100.000000,107000.000000,107000.000000,4476671
2019-02-01,106000.000000,111000.000000,95100.000000,108000.000000,108000.000000,3462516
2019-03-01,108000.000000,108500.000000,89100.000000,92900.000000,92900.000000,3034505
2019-04-01,93600.000000,99700.000000,91100.000000,93100.000000,93100.000000,2516354
2019-05-01,93100.000000,94700.000000,84800.000000,90300.000000,90300.000000,2215402
2019-06-01,89800.000000,96700.000000,88800.000000,93300.000000,93300.000000,1601805
2019-07-01,94000.000000,97600.000000,73600.000000,75300.000000,75300.000000,2652217
2019-08-01,74700.000000,75900.000000,63300.000000,66400.000000,66400.000000,2838604
2019-09-01,66000.000000,74100.000000,64700.000000,69500.000000,69500.000000,2947684
2019-10-01,69500.000000,71700.000000,62700.000000,62900.000000,62900.000000,2806139
2019-11-01,62900.000000,66700.000000,60300.000000,61900.000000,61900.000000,2439147
2019-12-01,61900.000000,64300.000000,59100.000000,62600.000000,62600.000000,1967637
2020-01-01,62600.000000,65900.000000,55800.000000,55800.000000,55800.000000,2885674
2020-02-01,54500.000000,67300.000000,48300.000000,49250.000000,49250.000000,6281664
2020-03-01,49000.000000,52200.000000,26450.000000,34800.000000,34800.000000,5690170
2020-04-01,34800.000000,41350.000000,32550.000000,39950.000000,39950.000000,3577329
2020-05-01,39950.000000,48050.000000,37000.000000,39400.000000,39400.000000,7680022
2020-06-01,39850.000000,44450.000000,35800.000000,37000.000000,37000.000000,6999272
2020-07-01,37150.000000,68400.000000,36650.000000,56100.000000,56100.000000,27114663
2020-08-01,56300.000000,70700.000000,53500.000000,64700.000000,64700.000000,16369735
2020-09-01,64700.000000,75400.000000,53300.000000,57000.000000,57000.000000,10975135
2020-10-01,57000.000000,67900.000000,57000.000000,61800.000000,61800.000000,8156269
2020-11-01,62300.000000,70700.000000,58500.000000,69300.000000,69300.000000,9442528
2020-12-01,69500.000000,94400.000000,66700.000000,93000.000000,93000.000000,11816094
2021-01-01,93000.000000,117000.000000,93000.000000,98400.000000,98400.000000,10200559
2021-02-01,96700.000000,127500.000000,94000.000000,125000.000000,125000.000000,10585791
2021-03-01,125000.000000,138500.000000,108000.000000,121500.000000,121500.000000,10314161
2021-04-01,123000.000000,147000.000000,114500.000000,125000.000000,125000.000000,10049309
2021-05-01,126000.000000,135000.000000,113500.000000,127000.000000,127000.000000,7332113
2021-06-01,127000.000000,136500.000000,111500.000000,117500.000000,117500.000000,8951357
2021-07-01,120000.000000,127500.000000,110500.000000,114000.000000,114000.000000,8645028
2021-08-01,114000.000000,128500.000000,101000.000000,127000.000000,127000.000000,7766718
2021-09-01,125500.000000,166000.000000,122000.000000,161000.000000,161000.000000,10738058
