date,data
2014-01-01,176
2014-02-01,155
2014-03-01,196
2014-04-01,156
2014-05-01,97
2014-06-01,167
2014-07-01,133
2014-08-01,86
2014-09-01,217
2014-10-01,149
2014-11-01,149
2014-12-01,150
2015-01-01,127
2015-02-01,104
2015-03-01,116
2015-04-01,230
2015-05-01,110
2015-06-01,220
2015-07-01,188
2015-08-01,103
2015-09-01,194
2015-10-01,119
2015-11-01,628
2015-12-01,798
2016-01-01,179
2016-02-01,139
2016-03-01,127
2016-04-01,155
2016-05-01,118
2016-06-01,133
2016-07-01,108
2016-08-01,122
2016-09-01,131
2016-10-01,156
2016-11-01,233
2016-12-01,176
2017-01-01,121
2017-02-01,65
2017-03-01,99
2017-04-01,132
2017-05-01,100
2017-06-01,213
2017-07-01,118
2017-08-01,66
2017-09-01,92
2017-10-01,104
2017-11-01,161
2017-12-01,108
2018-01-01,73
2018-02-01,78
2018-03-01,84
2018-04-01,81
2018-05-01,73
2018-06-01,73
2018-07-01,84
2018-08-01,62
2018-09-01,92
2018-10-01,163
2018-11-01,138
2018-12-01,179
2019-01-01,87
2019-02-01,63
2019-03-01,122
2019-04-01,150
2019-05-01,115
2019-06-01,125
2019-07-01,108
2019-08-01,77
2019-09-01,144
2019-10-01,191
2019-11-01,214
2019-12-01,245
2020-01-01,130
2020-02-01,121
2020-03-01,81
2020-04-01,117
2020-05-01,177
2020-06-01,258
2020-07-01,550
2020-08-01,244
2020-09-01,387
2020-10-01,402
2020-11-01,679
2020-12-01,726
2021-01-01,784
2021-02-01,472
2021-03-01,435
2021-04-01,725
2021-05-01,792
2021-06-01,773
2021-07-01,690
2021-08-01,483
2021-09-01,665
