Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,162000.000000,164500.000000,142000.000000,143500.000000,137521.171875,5038077
2014-02-01,142500.000000,160000.000000,136000.000000,149500.000000,143271.187500,4379955
2014-03-01,147500.000000,170000.000000,147000.000000,161000.000000,154292.031250,5741312
2014-04-01,161500.000000,163000.000000,148000.000000,151000.000000,144708.687500,5431826
2014-05-01,151000.000000,159000.000000,143500.000000,151500.000000,145187.859375,4185254
2014-06-01,151500.000000,173500.000000,151000.000000,162000.000000,155250.390625,11076320
2014-07-01,161500.000000,176500.000000,157000.000000,160500.000000,153812.890625,8154503
2014-08-01,158500.000000,164000.000000,144500.000000,151500.000000,145187.859375,5966175
2014-09-01,153500.000000,155500.000000,122500.000000,122500.000000,117396.117188,7062693
2014-10-01,122500.000000,127500.000000,102000.000000,126000.000000,120750.289063,9963012
2014-11-01,126000.000000,141000.000000,118500.000000,134000.000000,128416.960938,5712980
2014-12-01,132500.000000,133000.000000,116000.000000,116000.000000,111166.937500,4304592
2015-01-01,116000.000000,131000.000000,109000.000000,129000.000000,124655.507813,5394918
2015-02-01,129000.000000,138500.000000,127000.000000,136500.000000,131902.921875,3882239
2015-03-01,138000.000000,146000.000000,128000.000000,136500.000000,131902.921875,6452923
2015-04-01,135000.000000,142500.000000,116500.000000,120000.000000,115958.609375,7517206
2015-05-01,120000.000000,128000.000000,114500.000000,122500.000000,118374.414063,4856900
2015-06-01,123000.000000,126500.000000,109000.000000,111000.000000,107261.710938,5938548
2015-07-01,112000.000000,118000.000000,85700.000000,85800.000000,82910.406250,7909284
2015-08-01,85600.000000,86900.000000,75600.000000,84500.000000,81654.187500,7553535
2015-09-01,84900.000000,108500.000000,82200.000000,108500.000000,104845.914063,12699221
2015-10-01,108000.000000,120000.000000,104000.000000,106500.000000,102913.273438,11094273
2015-11-01,108000.000000,127500.000000,105000.000000,120000.000000,115958.609375,8765369
2015-12-01,120500.000000,131000.000000,110000.000000,114000.000000,110160.679688,9609663
2016-01-01,114000.000000,118000.000000,87300.000000,93500.000000,91172.453125,9992053
2016-02-01,92000.000000,101500.000000,90100.000000,99900.000000,97413.148438,5669866
2016-03-01,99900.000000,105500.000000,96900.000000,99000.000000,96535.539063,5359943
2016-04-01,100000.000000,118000.000000,95000.000000,114000.000000,111162.140625,6931461
2016-05-01,113500.000000,117500.000000,105500.000000,112500.000000,109699.484375,5036356
2016-06-01,112500.000000,120500.000000,100000.000000,108000.000000,105311.507813,7756219
2016-07-01,107500.000000,117000.000000,102500.000000,105500.000000,102873.742188,4431530
2016-08-01,106000.000000,124500.000000,105500.000000,115500.000000,112624.812500,5279207
2016-09-01,111500.000000,113000.000000,96000.000000,96000.000000,93610.234375,7212556
2016-10-01,96000.000000,98300.000000,89100.000000,94300.000000,91952.539063,4957367
2016-11-01,94700.000000,97300.000000,88100.000000,92300.000000,90002.335938,5276930
2016-12-01,91900.000000,111000.000000,89600.000000,109000.000000,106286.609375,5899131
2017-01-01,103500.000000,118000.000000,102000.000000,115500.000000,113662.828125,5660913
2017-02-01,116500.000000,130500.000000,115500.000000,129000.000000,126948.085938,6073706
2017-03-01,129000.000000,141500.000000,122500.000000,138000.000000,135804.921875,5858387
2017-04-01,138000.000000,141000.000000,132500.000000,137500.000000,135312.890625,2860374
2017-05-01,137500.000000,168000.000000,137000.000000,165500.000000,162867.531250,5110404
2017-06-01,163000.000000,176000.000000,146000.000000,171500.000000,168772.078125,7291378
2017-07-01,172000.000000,191500.000000,163500.000000,168500.000000,165819.796875,7859648
2017-08-01,168500.000000,197000.000000,166000.000000,196500.000000,193374.421875,7083792
2017-09-01,198000.000000,224500.000000,189000.000000,198500.000000,195342.609375,7876760
2017-10-01,198500.000000,220000.000000,191000.000000,206000.000000,202723.296875,6172224
2017-11-01,220000.000000,234000.000000,208000.000000,212000.000000,208627.859375,7833932
2017-12-01,213500.000000,218000.000000,195000.000000,204500.000000,201247.171875,5301482
2018-01-01,204500.000000,227000.000000,196000.000000,197000.000000,194865.781250,9375909
2018-02-01,197000.000000,198000.000000,168000.000000,171000.000000,169147.453125,9340277
2018-03-01,171000.000000,217000.000000,168500.000000,192500.000000,190414.531250,9432231
2018-04-01,200000.000000,204000.000000,174500.000000,183500.000000,181512.015625,5671317
2018-05-01,183500.000000,211500.000000,179000.000000,200500.000000,198327.859375,6523672
2018-06-01,201000.000000,237000.000000,200000.000000,214000.000000,211681.593750,8441016
2018-07-01,215000.000000,244000.000000,207000.000000,229000.000000,226519.109375,8145064
2018-08-01,230000.000000,240000.000000,207500.000000,236000.000000,233443.265625,6511194
2018-09-01,237500.000000,263500.000000,235500.000000,258500.000000,255699.500000,5864988
2018-10-01,259500.000000,261000.000000,214000.000000,235500.000000,232948.687500,8824050
2018-11-01,239500.000000,241000.000000,199000.000000,206500.000000,204262.843750,8557153
2018-12-01,211500.000000,226500.000000,201000.000000,219000.000000,216627.437500,6947999
